1;0,023
2;0,065
3;0,12
4;0,185
5;0,259
6;0,341
7;0,43
8;0,526
9;0,623
10;0,727
11;0,835
12;0,949
13;1,068
14;1,193
15;1,325
16;1,462
17;1,603
18;1,748
19;1,897
20;2,049
21;2,206
22;2,366
23;2,529
24;2,696
25;2,866
26;3,039
27;3,215
28;3,395
29;3,577
30;3,762
31;3,951
32;4,141
33;4,335
34;4,531
35;4,73
36;4,931
37;5,134
38;5,341
39;5,549
40;5,76
41;5,973
42;6,188
43;6,405
44;6,624
45;6,846
46;7,069
47;7,295
48;7,522
49;7,752
50;7,983
51;8,216
52;8,451
53;8,687
54;8,926
55;9,166
56;9,407
57;9,65
58;9,895
59;10,142
60;10,389
61;10,639
62;10,89
63;11,142
64;11,395
65;11,65
66;11,907
67;12,164
68;12,423
69;12,683
70;12,945
71;13,207
72;13,471
73;13,736
74;14,001
75;14,268
76;14,536
77;14,805
78;15,075
79;15,346
80;15,618
81;15,891
82;16,165
83;16,44
84;16,715
85;16,991
86;17,268
87;17,546
88;17,825
89;18,104
90;18,384
91;18,665
92;18,946
93;19,228
94;19,511
95;19,794
96;20,078
97;20,362
98;20,647
99;20,932
100;21,217
101;21,504
102;21,79
103;22,077
104;22,364
105;22,652
106;22,94
107;23,228
108;23,517
109;23,806
110;24,095
111;24,384
112;24,674
113;24,963
114;25,253
115;25,543
116;25,833
117;26,124
118;26,414
119;26,704
120;26,994
121;27,285
122;27,575
123;27,865
124;28,155
125;28,445
126;28,735
127;29,025
128;29,315
129;29,604
130;29,894
131;30,183
132;30,472
133;30,76
134;31,049
135;31,337
136;31,624
137;31,912
138;32,199
139;32,485
140;32,771
141;33,057
142;33,342
143;33,627
144;33,911
145;34,195
146;34,478
147;34,76
148;35,042
149;35,324
150;35,604
151;35,884
152;36,164
153;36,442
154;36,72
155;36,997
156;37,274
157;37,549
158;37,824
159;38,097
160;38,37
161;38,642
162;38,913
163;39,183
164;39,452
165;39,72
166;39,987
167;40,253
168;40,518
169;40,782
170;41,044
171;41,305
172;41,566
173;41,824
174;42,082
175;42,338
176;42,593
177;42,847
178;43,099
179;43,35
180;43,599
181;43,847
182;44,093
183;44,338
184;44,582
185;44,823
186;45,063
187;45,301
188;45,538
189;45,773
190;46,006
191;46,237
192;46,466
193;46,694
194;46,919
195;47,143
196;47,364
197;47,584
198;47,801
199;48,016
200;48,229
201;48,44
202;48,648
203;48,854
204;49,058
205;49,259
206;49,458
207;49,654
208;49,847
209;50,038
210;50,226
211;50,411
212;50,593
213;50,773
214;50,949
215;51,122
216;51,292
217;51,459
218;51,623
219;51,782
220;51,939
221;52,091
222;52,24
223;52,385
224;52,526
225;52,663
226;52,795
227;52,923
228;53,046
229;53,164
230;53,277
231;53,384
232;53,486
233;53,581
234;53,67
235;53,752
236;53,826
237;53,891
238;53,946
239;53,988
240;54,011
